Lançamento,Hora,Atual,Projeção,Anterior,
03.12.2024 (Nov),22:45, ,"52,5","52,0",
04.11.2024 (Out),22:45,"52,0","50,5","50,3",
29.09.2024 (Set),22:45,"50,3","51,6","51,6",
03.09.2024 (Ago),22:45,"51,6","51,9","52,1",
04.08.2024 (Jul),22:45,"52,1","51,4","51,2",
02.07.2024 (Jun),22:45,"51,2","53,4","54,0",
04.06.2024 (Mai),22:45,"54,0","52,5","52,5",
05.05.2024 (Abr),22:45,"52,5","52,5","52,7",
02.04.2024 (Mar),22:45,"52,7","52,7","52,5",
04.03.2024 (Fev),22:45,"52,5","52,9","52,7",
04.02.2024 (Jan),22:45,"52,7","53,0","52,9",
03.01.2024 (Dez),22:45,"52,9","51,6","51,5",
04.12.2023 (Nov),22:45,"51,5","50,7","50,4",
02.11.2023 (Out),22:45,"50,4","51,2","50,2",
30.09.2023 (Set),22:45,"50,2","52,0","51,8",
04.09.2023 (Ago),22:45,"51,8","53,6","54,1",
02.08.2023 (Jul),22:45,"54,1","52,5","53,9",
04.07.2023 (Jun),22:45,"53,9","56,2","57,1",
04.06.2023 (Mai),22:45,"57,1","55,2","56,4",
04.05.2023 (Abr),22:45,"56,4","57,3","57,8",
05.04.2023 (Mar),22:45,"57,8","54,8","55,0",
02.03.2023 (Fev),22:45,"55,0","54,7","52,9",
02.02.2023 (Jan),22:45,"52,9","51,6","48,0",
04.01.2023 (Dez),22:45,"48,0", ,"46,7",
04.12.2022 (Nov),22:45,"46,7","48,0","48,4",
02.11.2022 (Out),22:45,"48,4","49,2","49,3",
07.10.2022 (Set),22:45,"49,3","54,5","55,0",
04.09.2022 (Ago),22:45,"55,0","54,0","55,5",
02.08.2022 (Jul),22:45,"55,5", ,"54,5",
04.07.2022 (Jun),22:45,"54,5","49,7","41,4",
05.06.2022 (Mai),22:45,"41,4", ,"36,2",
04.05.2022 (Abr),22:45,"36,2", ,"42,0",
05.04.2022 (Mar),22:45,"42,0", ,"50,2",
02.03.2022 (Fev),22:45,"50,2","50,9","51,4",
06.02.2022 (Jan),22:45,"51,4", ,"53,1",
05.01.2022 (Dez),22:45,"53,1", ,"52,1",
02.12.2021 (Nov),22:45,"52,1","52,6","53,8",
02.11.2021 (Out),22:45,"53,8", ,"53,4",
07.10.2021 (Set),22:45,"53,4", ,"46,7",
02.09.2021 (Ago),22:45,"46,7", ,"54,9",
03.08.2021 (Jul),22:45,"54,9", ,"50,3",
